Perfume;Brand;Gender;Age_Group;Top;Middle;Base
l-aventure-gold;al-haramain-perfumes;women;Adult (25-40);bergamot, black currant, green leaves;lily-of-the-valley, plum, jasmine, rose, orchid;musk, vanilla, sandalwood
royal-musk;al-haramain-perfumes;unisex;Adult (25-40);ylang-ylang, pepper, bergamot;orris, lily-of-the-valley, jasmine;musk, beeswax
haramain-signature-rose-gold;al-haramain-perfumes;women;Adult (25-40);black currant, bergamot, mandarin orange, ylang-ylang;jasmine, orris, dried fruits, freesia, peach;musk, amber, vanilla
voyage;armaf;men;Adult (25-40);grapefruit, iris, cardamom, sage;cinnamon, lavender, violet leaf;tonka bean, woody notes
club-de-nuit-man;armaf;men;Mature (40+);mandarin orange, grapefruit, mint;cinnamon, cloves, ginger, pepper;amber, spicy notes, woody notes, patchouli, leather
derby-club-house-fairmount;armaf;women;Youth (15-25);peach, mango, cassis, pink peony, pink pepper;litchi, pineapple, pomegranate;white tea, white musk, teak wood, sandalwood
shades;armaf;men;Youth (15-25);violet leaf, bergamot, pineapple, cardamom, plum, lime;cedar needles, rosemary, geranium, jasmine, sage;cedar, ambergris, white musk, sandalwood, patchouli
extraordinary;avon;women;Youth (15-25);pepper, tangerine, raspberry, grapefruit;dark chocolate, ginger, orchid, magnolia, lotus;vanilla, patchouli, sandalwood, musk
ivete-sangalo;avon;women;Youth (15-25);bellini, nectarine, peach, violet leaves;turkey red rose, orchid, jasmine;praline, vanilla, sandalowood, vetiver, musk
aquavibe-ameixa;avon;women;Youth (15-25);plum, watermelon, pineapple;violet, lily-of-the-valley, orange blossom;cotton candy, vanilla, musk
aquavibe-mix-chypre-capim-limao;avon;unisex;Adult (25-40);lemongrass;freesia;patchouli
attraction-one-intense;avon;unisex;Adult (25-40);cardamom, pink pepper, bergamot, watery notes;coffee, saffron, lemon blossom;vanilla, sandalwood, tonka bean
christian-lacroix-nuit-for-men;avon;men;Mature (40+);tobacco, lavender, bergamot;violet, cypress, cardamom;woodsy notes, resin, iris
exclusive-in-black;avon;men;Adult (25-40);sea notes, calypsone, mint;lavender, violet, geranium;vetiver, musk, sandalwood
segno;avon;men;Mature (40+);sicilian lemon, black pepper, basil;whiskey, haitian vetiver, lavender;ambertonic, leather, patchouli
blue-charm;azzaro;women;Adult (25-40);cherry blossom, white peach, bergamot;lotus, lilac, lily;white musk, cedar, white amber
azzaro-pour-homme-limited-edition-2015;azzaro;men;Mature (40+);orange, lavender, fennel, basil, ginger, star anise;cardamom, vetiver, sandalwood, patchouli;oakmoss, amber, leather, musk
solarissimo-marettimo;azzaro;men;Adult (25-40);lemon, citron;sea water, haitian vetiver;cedar, labdanum
pure-wonder;bath-body-works;women;Adult (25-40);rose, ice;star jasmine;white amber
sweet-pea-forever;bath-body-works;women;Youth (15-25);peach, bergamot, red apple, mandarin orange, orange, apricot, violet leaf;black currant, nectarine, african orange flower, tiare flower, gardenia, tuberose, marigold;musk, woodsy notes
wrapped-in-sugar;bath-body-works;women;Youth (15-25);coconut, apple, mandarin orange, martini;coconut, jasmine, heliotrope;marshmallow, musk, amber, white wood
sweet-cinnamon-pumpkin;bath-body-works;women;Youth (15-25);pumpkin, apple, ginger;cinnamon, ginger, jasmine;vanilla, rum, amber
raspberry-sweet-mint;bath-body-works;women;Youth (15-25);raspberry, lemon, pomelo, nectarine;pink lotus, mint, jasmine, apple blossom;sugar cane, vanilla, amber, musk, teak wood
dubai-amber;bond-no-9;unisex;Youth (15-25);pink pepper, saffron, bergamot, raspberry;gurjan balsam, guaiac wood, bulgarian rose, jasmine;amber, cedar, vanilla
dubai-gold;bond-no-9;unisex;Adult (25-40);brandy, saffron, bitter orange;cedar, guaiac wood, ginger;sandalwood, amber, musk, patchouli
bvlgari-man-in-black-parfum;bvlgari;men;Adult (25-40);spices, elemi;tuberose, iris;siam benzoin, dark woodsy notes
playing-with-the-devil;by-kilian;women;Adult (25-40);black currant, white peach, litchi, blood orange;pimento, pepper, rose, jasmine;vanila, sandalwood, patchouli, cedar, benzoin, tonka bean
love-eau-fraiche;by-kilian;women;Youth (15-25);neroli, petitgrain;jasmine, peony, freesia;marshmallow, white musk
loulou-blue;cacharel;women;Adult (25-40);anise, green notes, peach, bergamot;orchid, honeysuckle, orris root, freesia;vanilla, tonka bean, sandalwood, vetiver
noa-l-eau;cacharel;women;Youth (15-25);green apple, cassis;peony, jasmine;white musk, benzoin
ck-one-collector-bottle-2008;calvin-klein;unisex;Youth (15-25);bergamot, cardamom, pineapple, papaya;tea, nutmeg, jasmine, violet;musk, amber
212;carolina-herrera;women;Adult (25-40);orange blossom, cactus flower, bergamot, mandarin orange;lily, freesia, gardenia, jasmine, lily-of-the-valley, white camelia, rose, peony;musk, sandalwood
212-glam-men;carolina-herrera;men;Mature (40+);cacao, dark chocolate;tobacco, tonka bean;musk, woodsy notes
ch-grand-tour;carolina-herrera;women;Adult (25-40);brazilian orange, lemon, grapefruit;iris, orange blossom;dulce de leche
eau-de-cartier;cartier;unisex;Adult (25-40);yuzu, bergamot, coriander;violet leaf, violet, lavender;cedar, musk, white amber, patchouli
so-pretty-eau-fruitee;cartier;women;Adult (25-40);bergamot, neroli, mandarin orange;rose, iris, orchid, jasmine;musk
coco-mademoiselle-hair-mist-2023;chanel;women;Adult (25-40);orange;jasmine, rose;patchouli, vetiver
love;chloe;women;Adult (25-40);pink pepper, african orange flower;iris, lilac, hyacinth, heliotrope, wisteria;powdery notes, rice, musk
happy-spirit-elixir-d-amour;chopard;women;Adult (25-40);yellow freesia;jasmine sambac;cashmere wood, white musk, amber
happy-spirit-forever;chopard;women;Adult (25-40);pink pepper, yellow mandarin;rosemary, orange blossom, jasmine;amber, patchouli
infiniment;chopard;women;Adult (25-40);petitgrain, bergamot, sichuan pepper;lotus, tuberose, bulgarian rose;sandalwood, musk, benzoin
summer-splash-warm-cotton-breeze;clean;women;Mature (40+);aldehydes, mandarin orange, orange, bergamot;lily-of-the-valley, pear blossom, hyacinth;musk, amber, white wood
coach-floral-eau-the-parfum;coach;women;Youth (15-25);pineapple, pink pepper, orange, bergamot, lemon;gardenia, tea rose, jasmine sambac, hedione;musk, patchouli, woody notes, vanilla, sandalwood
bois;commodity;unisex;Adult (25-40);pink pepper, angelica, pimento;jasmine, orchid, freesia;cedar, sandalwood, vanilla
millesime-1849;creed;unisex;Adult (25-40);calabrian bergamot;ylang-ylang, jasmine, patchouli, cedar;sandalwood, bourbon vanilla, musk, agarwood (oud)
royal-princess-oud;creed;women;Adult (25-40);bergamot, violet, rose;patchouli, tuscan iris, jasmine, vanilla absolute;agarwood (oud), sandalwood, siam benzoin, styrax
d-s;ds-durga;unisex;Adult (25-40);saffron, gardenia, frangipani;agarwood (oud), lotus, damask rose;sandalwood, vetiver, ambrette (musk mallow)
gateau-blackout;ds-durga;unisex;Mature (40+);black cherry, pine, incense;cacao pod, orris root, jasmine;fire, vanilla, musk
cool-water-deep;davidoff;men;Youth (15-25);mandarin orange, kiwi, cactus, juniper, apple;fir resin, cedar needles, clary sage;hinoki wood, guaiac wood, labdanum, white musk, elemi resin
cool-water-pure-pacific-for-her;davidoff;women;Youth (15-25);melon, mint, pineapple;bamboo, lily-of-the-valley, jasmine, violet;peach, sandalwood, orris root
davidoff-cool-water-men-ice-fresh;davidoff;men;Adult (25-40);grapefruit, amalfi lemon, mandarin orange;sage, basil;green notes
lily;dior;women;Adult (25-40);green notes, fruity notes, bergamot, brazilian rosewood;lily-of-the-valley, lilac, lily, jasmine, rose;musk, sandalwood
k-by-dolce-gabbana-eau-de-parfum;dolce-gabbana;men;Adult (25-40);blood orange, juniper berries, pimento, lemon, sicilian lemon, cardamom;fig nectar, lavender, geranium, clary sage;cedar, patchouli, vetiver, cypriol oil or nagarmotha
velvet-cypress;dolce-gabbana;unisex;Adult (25-40);sicilian lemon, bergamot;cypress, galbanum, clary sage;cedar
sunflowers-morning-gardens;elizabeth-arden;women;Adult (25-40);grapefruit, bergamot, red currant, neroli, pink pepper;sunflower, peony, rose oil, honeysuckle;musk, vetiver, cedar
escada-s;escada;women;Adult (25-40);rose, plum, black currant;almond blossom, rose, pimento, lily-of-the-valley;hazelnut, mahogany, sandalwood, musk
especially-escada-delicate-notes;escada;women;Adult (25-40);pear, hamanasu or japanese rose, grapefruit;rose, ambrette (musk mallow), ylang-ylang;musk, woodsy notes
fl-18;a-n-other;unisex;Youth (15-25);saffron, cotton candy, elemi resin;mate, ambrette (musk mallow), night blooming jasmine;leather, cashmere musk, labdanum, amberwood
mirto-di-panarea-limited-edition;acqua-di-parma;unisex;Adult (25-40);myrtle, italian lemon, bergamot, basil;sea notes, jasmine, damask rose;juniper, virginian cedar, amber, mastic or lentisque
imitation-man;amouage;men;Mature (40+);citron, nutmeg, black pepper;turkish rose, orris, violet;leather, myrhh, patchouli, vetiver, castoreum
anticipate;amway;men;Mature (40+);rosemary, bitter orange, grapefruit;ginger, cyclamen, geranium;vanille, patchouli, vetiver, leather
silver-musk;afnan;unisex;Adult (25-40);musk;musk;musk, powdery notes
eaudemoiselle-de-givenchy-eau-florale;givenchy;women;Adult (25-40);pear, pink grapefruit;hamanasu or japanese rose, water jasmine;musk, woody notes
gentlemen-only;givenchy;men;Mature (40+);pink pepper, green mandarin, birch leaf, nutmeg, bergamot;vetiver, cedar, patchouli, violet leaf, elemi;incense, musk
harvest-2008-ange-ou-demon-jasmin-sambac;givenchy;women;Mature (40+);saffron, mandarin orange, thyme;ylang-ylang, jasmine, lily, orchid;tonka bean, oakmoss
flora-by-gucci-gorgeous-gardenia;gucci;women;Adult (25-40);pear, red berries;gardenia, frangipani;patchouli
gucci-guilty-black-pour-femme;gucci;women;Youth (15-25);red berries, pink pepper;raspberry, lilac, violet, peach, red currant;patchouli, amber, caramel
a-gloaming-night;gucci;unisex;Adult (25-40);cinnamon;vetiver;patchouli
aqua-allegoria-figue-iris;guerlain;women;Adult (25-40);violet, bergamot, grapefruit;fig leaf, iris;vanilla, vetiver
idylle-duet;guerlain;women;Adult (25-40);rose, patchouli;lily-of-the-valley, freesia, peony, jasmine;musk
l-instant-d-un-ete;guerlain;women;Adult (25-40);grapefruit, bitter orange;magnolia, jasmine, ylang-ylang;vanille, benzoin, musk
la-petite-robe-noire-couture-limited-edition-2014;guerlain;women;Youth (15-25);raspberry, bergamot;rose;tonka bean, patchouli, vetiver, moss
les-voyages-olfactifs-04-paris-london;guerlain;unisex;Adult (25-40);rhuburb, bergamot, grapefruit;rose, violet, cardamom;tea, virginia cedar, vetiver
boss-the-scent-intense;hugo-boss;men;Mature (40+);cardamom, ginger;maninka, lavender;leather, vanilla, woody notes
nectar-d-issey-premiere-fleur;issey-miyake;women;Adult (25-40);nashi pear, fruits;peony, jasmine;white musk, sandalwood
pleats-please-l-elixir;issey-miyake;women;Youth (15-25);gardenia, heliotrope;peony, sweet pea;vanilla, cedar, patchouli
classique-eau-fraiche-andre-edition;jean-paul-gaultier;women;Adult (25-40);sugar cane, ginger, sorbet, lemon;orange blossom, tiare flower, jasmine;vanilla, musk, labdanum
classique-x;jean-paul-gaultier;women;Adult (25-40);bergamot, mandarin orange;african orange flower, iris, peony;virginia cedar, vanille
tempting-rose;jimmy-choo;women;Youth (15-25);pear, litchi, raspberry;rose, cedar, white blossom;sandalwood, musk
poppy-barley;jo-malone-london;unisex;Adult (25-40);fig, violet, black currant;powdery notes, wheat, poppy;barley, white musk, bran
orange-blossom-cologne-2019;jo-malone-london;unisex;Adult (25-40);clementine, citron, green notes;orange blossom, lotus;lilac, orris, vetiver
tuberose-angelica-limited-edition;jo-malone-london;women;Adult (25-40);angelica;tuberose;amber, woody notes
dirty-english-for-men;juicy-couture;men;Mature (40+);cedar, mandarin orange, cardamom, bergamot, caraway;leather, atlas cedar, sandalwood, vetiver, marjoram;oud, ebony, musk, oakmoss, amber
viva-la-juicy;juicy-couture;women;Youth (15-25);wild berries, mandarin orange;gardenia, honeysuckle, jasmine;caramel, praline, vanilla, amber, sandalwood
viva-la-juicy-petals-please;juicy-couture;women;Youth (15-25);cloudberry, water lily, magnolia;rose water, gardenia, pink freesia, egyptian jasmine;madagascar vanilla, caramel, salt, woodsy notes, amber
parfum-d-ete-2002;kenzo;women;Adult (25-40);lily-of-the-valley, green notes;hyacinth, jasmine, peony;white musk, sandalwood
summer-by-kenzo;kenzo;women;Adult (25-40);citruses, lemon, bergamot;mimosa, almond milk, lily-of-the-valley, violet, freesia, jasmine;musk, lemon, amber, woodsy notes, styrax, cedar
l-eau-par-kenzo-electric-wave-pour-femme;kenzo;women;Adult (25-40);nectarine, tangerine;white lotus, jasmine;white musk, cedar
voleur-de-roses;l-artisan-parfumeur;unisex;Adult (25-40);plum, geranium, bergamot;patchouli, rose;benzoin, amber, sandalwood, musk
hypnose-eau-legere;lancome;women;Adult (25-40);guava, lemon;passion flower, vanilla;vetiver
la-vie-est-belle-l-eau-de-parfum-blanche;lancome;women;Youth (15-25);pink pepper, bergamot;iris, orange blossom, neroli, jasmine sambac;sweet notes, white musk, ambrette (musk mallow), patchouli
o-de-l-orangerie;lancome;women;Adult (25-40);african orange flower, citruses, orange, bergamot;jasmine;virginia cedar, benzoin
rouat-al-oud;lattafa-perfumes;unisex;Mature (40+);saffron, raspberry;rose, geranium, patchouli;agarwood (oud), amber, leather, cedar
ta-weel;lattafa-perfumes;unisex;Mature (40+);ginger, bergamot, juniper, nutmeg;orange blossom, lavender;ambroxan, leather, vetiver, patchouli
aire-loco;loewe;women;Adult (25-40);bergamot, pink pepper, magnolia, neroli;passionfruit, african orange flower, jasmine, freesia, rose;cardamom, virginia cedar, patchouli, vanilla
lolita-lempicka-original;lolita-lempicka;women;Youth (15-25);anise, bergamot;licorice, iris, tonka bean;vanilla, praline, musk, patchouli
lolitaland;lolita-lempicka;women;Adult (25-40);bellini, orange, italian mandarin, pepper, lemon, grapefruit, lime;white peach, plum, black currant, jasmine sambac, jasmine, magnolia, rose;madagascar vanilla, licorice, benzoin, white musk, sandalwood
les-4-saisons-printemps;m-micallef;women;Youth (15-25);bergamot, pear;rose, raspberry, black currant;musk, vanille, sandalwood, cedar, guaiac wood
soleil-d-italie;mancera;unisex;Adult (25-40);bitter orange, lime, mandarin orange, calabrian bergamot, cardamom, pink pepper;watery notes, bulgarian rose, patchouli leaf;white musk, ambergris, vetiver, cedar, guaiac wood
holidays;mancera;unisex;Adult (25-40);coconut, bergamot;tiare flower, ylang-ylang, sea notes;vanilla pod, sandalwood, white musk
sicily;mancera;unisex;Youth (15-25);mandarin orange, grapefruit, peach, pineapple, bergamot, apple;jasmine, ylang-ylang, violet, rose;white musk, woody notes
daisy-10th-anniversary-edition;marc-jacobs;women;Youth (15-25);violet leaf, strawberry, grapefruit;violet, jasmine, gardenia;musk, vanilla, sandalwood
marc-jacobs-autumn-splash-amber;marc-jacobs;women;Adult (25-40);star anise, ginger;amber, lily, cassia;cashmere wood, tonka bean, benzoin
tropical-splash-hibiscus;marc-jacobs;unisex;Youth (15-25);peony, raspberry, mandarin orange;hibiscus, freesia, tiare flower;woodsy notes, musk, vetiver
inle-iris;memo-paris;women;Adult (25-40);bergamot, artemisia, mint;mate, osmanthus, jasmine sambac;iris, musk
kedu-sesame;memo-paris;unisex;Adult (25-40);peony, freesia, rose;grapefruit, neroli, mandarin orange, mate, lotus;sesame, white musk, moss, palm tree
siwa;memo-paris;women;Mature (40+);aldehydes, violet leaf;whiskey, narcissus, cinnamon;vanilla, popcorn, musk
intense-cafe;montale;unisex;Adult (25-40);floral notes;rose, coffee;vanila, white musk, amber
nepal-aoud;montale;unisex;Mature (40+);agarwood (oud), saffron, nutmeg;bulgarian rose, amber;leather, white musk, madagascar vanilla
moschino;moschino;women;Mature (40+);galbanum, marigold, plum, honeysuckle, freesia;nutmeg, carnation, pepper, ylang-ylang, gardenia, rose;amber, sandalwood, patchouli, vanilla, musk
narciso-rodriguez-for-her-eau-de-parfum;narciso-rodriguez;women;Adult (25-40);rose, peach;musk, amber;patchouli, sandalwood
essencial-oud-pimenta;natura;women;Mature (40+);black pepper, cardamom, saffron, lemon;iris, jasmine;agarwood (oud), myrrh, musk, cypriol oil or nagarmotha, palo santo, amber, breu-branco, cedar, gurjan balsam, honey
homem-elo;natura;men;Youth (15-25);lavender, lavender extract, storax, black pepper, clary sage, pink pepper, pataqueira, cardamom, bergamot, citron leaf, grapefruit;vetiver, cypress, cedar, patchouli, cypriol oil or nagarmotha, sandalwood;amber, benzoin, tonka, moss, praline, musk
ilia-flor-de-laranjeira;natura;women;Adult (25-40);jasmine, freesia, herbal notes;orange blossom;white musk, woodsy notes, white cedar extract
kaiak-urbe;natura;men;Youth (15-25);green notes, apple, mint, bergamot, lemon, mandarin orange, dihydromyrcenol;nutmeg, lavender, geranium, basil;musk, exotic woods, cedar, sandalwood, amber, tonka bean
frescor-tukuma;natura;women;Adult (25-40);rhubarb, pink pepper, bergamot;tucum, rose, geranium, lily of the valley;sandalwood, coumarin, musk
sintonia-noite;natura;men;Adult (25-40);nutmeg, bergamot, artemisia, basil;lavender, cedar, sandalwood, green leaves;tonka bean, benzoin, musk, moss
sol-de-viver;natura;women;Youth (15-25);carambola (star fruit), kiwi, raspberry, apricot;floral notes, peony, rose;musk, amber, sandalwood, cedar
folhas-de-limao-e-graviola;natura;unisex;Adult (25-40);soursop, lemon leaf, bergamot, basil, lime, lemon verbena, mandarin orange, pear, cardamom, green notes;peony, violet, transparent flowers, magnolia, orange blossom;madagascar vanilla, musk, amber, tonka bean, sandalwood
musiqa-oud;nishane;unisex;Mature (40+);cypriol oil or nagarmotha, amyris, grapefruit;agarwood (oud), saffron, amber;guaiac wood, sandalwood, oakmoss
anni;o-boticario;women;Youth (15-25);tropical fruits, apricot, mandarin orange, sicilian lemon;jasmine, freesia, lily-of-the-valley;sweet notes, musk, amber, sandalwood
arbo;o-boticario;men;Mature (40+);mint, grapefruit, petitgrain, mandarin orange, geranium, mountain air;green notes, artemisia, sage;oakmoss, sandalwood, musk
coffee-man-seduction;o-boticario;men;Youth (15-25);nutmeg, apple, cassis, mandarin orange, bergamot;sandalwood, jasmine, lily-of-the-valley, virginia cedar;vanille, sugar, coffee, amber, patchouli, musk
egeo-red;o-boticario;unisex;Youth (15-25);red fruits, pink pepper, rum, mandarin orange, pear;marshmallow, chocolate flower, jasmine sambac, gardenia, iris;vanilla, sandalwood, musk, cedar, benzoin, patchouli
floratta-emerald;o-boticario;women;Adult (25-40);green notes, lime, mandarin orange;jasmine, gardenia, freesia, orchid;musk, sandalwood, virginia cedar, amber
boccanera;orto-parisi;unisex;Mature (40+);chili pepper, black pepper, ginger, cacao pod;jasmine;chocolate, musk, leather, animal notes, cedar, patchouli, vanilla, sugar
violetta;penhaligon-s;women;Adult (25-40);geranium, citruses;violet;musk, sandalwood, cedar
love;ralph-lauren;women;Adult (25-40);berry fruits, magnolia, mimosa;rose, ylang-ylang;patchouli, musk, vanilla, vetiver, amber, sandalwood, orris root
polo-sport;ralph-lauren;men;Mature (40+);aldehydes, mint, lavender, bergamot, mandarin orange, lemon, artemisia, neroli;seagrass, ginger, geranium, jasmine, cyclamen, brazilian rosewood, rose;musk, sandalwood, cedar, guaiac wood, amber
confidence;rasasi;women;Adult (25-40);lemon, plum, mandarin orange, pink pepper;jasmine, orris, orange blossom;vanilla, musk, vetiver
f-by-ferragamo-free-time;salvatore-ferragamo;men;Adult (25-40);amalfi lemon, ginger;pink pepper, cardamom;vetiver, musk, virginia cedar
feminite-du-bois-limited-edition;serge-lutens;unisex;Adult (25-40);plum, virginia cedar, cinnamon, peach;clove, ginger, ylang-ylang, violet, rose, orange blossom;sandalwood, vanilla, benzoin, musk
harrods-ruby-naga;stephane-humbert-lucas-777;unisex;Youth (15-25);raspberry, almond, peach, litchi, green mandarin;orris root, orange blossom, jasmine sambac, bulgarian rose, violet leaf;vanilla, amber
secret-musk;swiss-arabian;unisex;Youth (15-25);peony, geranium;white musk, white rose, raspberry, iris;musk, powdery notes, cashmere wood, sandalwood
kawthar;swiss-arabian;unisex;Adult (25-40);turkish rose;agarwood (oud), sandalwood;ambergris
velvet-orchid-lumiere;tom-ford;women;Mature (40+);rum, honey, mandarin orange, bergamot;black orchid, rose, jasmine;myrrh, vanilla, sandalwood
jonquille-de-nuit;tom-ford;unisex;Adult (25-40);mimosa, violet leaf, cyclamen, bitter orange blossom, angelica;narcissus;orris, amber
rose-d-amalfi;tom-ford;unisex;Adult (25-40);pink pepper, bergamot, indian mandarin;rose;heliotrope, almond
tommy-now;tommy-hilfiger;men;Adult (25-40);bergamot, mandarin orange;ginger, cardamom, geranium;moss, amberwood
hilfiger-woman-pear-blossom;tommy-hilfiger;women;Youth (15-25);raspberry, neroli;sandalwood, cedar;whipped cream, tonka bean, cinnamon, artemisia
passeggiata-in-galleria-vittorio-emanuele-ii;trussardi;unisex;Adult (25-40);hazelnut, coffee, cinnamon;tuberose, coconut, jasmine sambac;vanilla, white musk, cedar
valentina-pink;valentino;women;Youth (15-25);big strawberry, blackberry, musk;may rose, rose, peony;praline, amber, cashmere wood
victoria-s-secret-angel;victoria-s-secret;women;Adult (25-40);plum, pink pepper;violet, gardenia;musk, agarwood (oud), ambergris
very-sexy-2018;victoria-s-secret;women;Adult (25-40);blackberry, cactus, clementine, cappuccino, pepper;orchid, hortensia, mimosa, camelia;musk, blackberry, amber, woody notes
very-sexy-temptation;victoria-s-secret;women;Adult (25-40);nectarine;lily;amber
comme-une-evidence-homme;yves-rocher;men;Adult (25-40);cypress, bergamot, mandarin orange;cedar, guaiac wood, patchouli;rose, pepper, nutmeg, cardamom
rose-absolue;yves-rocher;women;Adult (25-40);cinnamon;rose;tonka bean, patchouli, virginia cedar
04-pure-selection;zara;women;Adult (25-40);gardenia, magnolia, ivy;jasmine sambac, lily-of-the-valley, orange blossom;ambroxan, orris, benzoin
queen-plumrose;zara;women;Adult (25-40);sand;rose;woodsy notes
golden-decade-winter;zara;women;Mature (40+);tangerine, bergamot;jasmine, orange blossom, incense, lavender;vanilla, vetiver, amber, tonka bean, musk
03-nuit;zara;women;Adult (25-40);peach, bergamot;iris, lily of the valley;vanilla, amber, musk, woody notes
no-night;zara;men;Youth (15-25);lavender;apple;sandalwood
aquafortis;wilgermain;unisex;Adult (25-40);lemon, petitgrain, calabrian bergamot;tangerine blossom, jasmine sambac, lavender;haitian vetiver, tuscan iris, turmeric
tous-les-colognes-concentrees;tous;women;Adult (25-40);peony, green mandarin;rose, jasmine;musk, sandalwood
tous;tous;women;Adult (25-40);violet leaf, bergamot, cassia, coriander;gardenia, peony, jasmine, rose;white musk, iris, moroccan cedar
dance-midnight-muse;shakira;women;Adult (25-40);pink pepper, pear, bergamot;orange blossom, heliotrope, jasmine, lily;vanilla, whipped cream, musk, woody notes, amber
vocalise;shiseido;women;Adult (25-40);peach, fruity notes, orchid, green notes, black currant, neroli, brazilian rosewood;rose, lily-of-the-valley, red currant, japanese cypress, yuzu, jasmine;heliotrope, vanilla, musk, sandalwood, cedar, pepper
playboy-generation-for-him;playboy;men;Mature (40+);pineapple, cinnamon, bergamot;tonka bean, lavender, cashmeran;vanilla, leather, cedar
giordani-gold-incontro;oriflame;women;Adult (25-40);powdery notes, pink pepper, ambrette (musk mallow);rose, spicy notes, ylang-ylang;patchouli, resins, tonka bean
giordani-gold-woman-eau-de-parfum;oriflame;women;Adult (25-40);orange, lemon, mandarin orange;jasmine, lily, orange blossom;musk, moss, patchouli, solar notes
ocean-pacific-for-women;ocean-pacific;women;Adult (25-40);magnolia, violet;hibiscus, water lily, honeysuckle;musk, white amber
sparkling-blush;michael-kors;women;Adult (25-40);litchi, pear, pink pepper, bergamot;frangipani, magnolia, jasmine, rose, lily;vanilla, sandalwood, amber, vetiver
new-oud;hayari-parfums;unisex;Adult (25-40);bitter orange, petitgrain, orange blossom;agarwood (oud), tuberose, saffron;patchouli, papyrus, vetiver, juniper
drakkar-noir;guy-laroche;men;Mature (40+);lavender, lemon, bergamot, rosemary, mint, lemon verbena, basil, artemisia;juniper, coriander, cinnamon, carnation, wormwood, angelica, jasmine;oakmoss, pine tree needles, leather, fir, sandalwood, vetiver, patchouli, cedar, amber, resins
furiosa;fendi;women;Mature (40+);pink pepper, calabrian bergamot;wallflower, gardenia, jasmine;amber, guaiac wood, incense
art-elegija-art-elegy;dzintars;women;Adult (25-40);melon, lemon;black currant, jasmine;musk
chanson-d-emotions-pure-innocence;coty;women;Adult (25-40);cypress, tomato leaf;peony, freesia, rose, ylang-ylang;musk, sandalwood
eau-ressourcante;clarins;women;Adult (25-40);basil, lemon;iris;cedar, benzoin
cerruti-pour-homme;cerruti;men;Adult (25-40);mandarin orange, bergamot;coriander, anise, basil;guaiac wood, sandalwood, cedar
paris-florence;carven;women;Mature (40+);black currant;heliotrope, magnolia, freesia;sandalwood, myrrh, cedar
parco-palladiano-xv-salvia-blu;bottega-veneta;unisex;Youth (15-25);pear, apple, sage, lavender;rose, magnolia, freesia, green notes;iso e super, musk, violet
modern-man;banana-republic;men;Mature (40+);water notes, grapefruit, juniper, seaweed;cyclamen, tamarind;vetiver, musk, incense, birch, patchouli
17-oud-mosaic;banana-republic;unisex;Adult (25-40);plum, cardamom, white pepper;turkish rose, saffron, labdanum;agarwood (oud), amber, musk
rosewood;banana-republic;women;Adult (25-40);bergamot;tea;amber
in-red-eau-fraiche;armand-basi;women;Mature (40+);ginger, mandarin orange, violet leaf, bergamot, water notes;gardenia, lily-of-the-valley, rose, jasmine, cardamom;cedar, oakmoss, sandalwood, musk
seduction-in-black;antonio-banderas;men;Adult (25-40);black currant, bergamot;nutmeg, cardamom, coriander;tonka bean, amber, musk, virginia cedar
ambre-frais-femme;angel-schlesser;women;Adult (25-40);galbanum, amalfi lemon, plum, bergamot;amber, lily, african orange flower, lily-of-the-valley;mexican chocolate, benzoin, vanille, musk, vetyver
ameerat-al-arab-prive-rose;asdaaf;women;Youth (15-25);strawberry, grapes, orange;rose, white musk, jasmine, gardenia, ylang-ylang, lily;tonka bean, amber, sandalwood
b-united-woman;benetton;women;Youth (15-25);red berries, black currant, sicilian bergamot;cotton flower, orange, freesia, peony, rose;vanilla, raspberry, sandalwood, cedar, musk
united-colors-of-benetton-man;benetton;men;Adult (25-40);bergamot, black currant;cotton flower, water notes;cedar, white musk
colors-de-benetton-woman-rose-intenso;benetton;women;Adult (25-40);white flowers, citruses;sparkling wine;musk, trees
united-dreams-men-aim-high;benetton;men;Adult (25-40);grapefruit, bitter orange, lemon;sage, mint, geranium, nutmeg;patchouli, vetiver, amber, moss
siren-posle-dozda-lilac-after-the-rain;brocard;women;Adult (25-40);almond blossom, bergamot;lilac, lily-of-the-valley, jasmine, rose;heliotrope, honey, vanilla
charriol-eau-de-toilette;charriol;women;Adult (25-40);passionfruit, carambola (star fruit), bergamot;freesia, jasmine;musk, teak wood, vetiver
still;jennifer-lopez;women;Youth (15-25);earl grey tea, white pepper, mandarin orange, apple, rice;jasmine, lily-of-the-valley, freesia, honeysuckle, orange blossom, rose;pepper, musk, sandalwood, iris, amber
miami-glow;jennifer-lopez;women;Adult (25-40);passionfruit, coconut milk, pink grapefruit;orange blossom, cyclamen, heliotrope;vanilla, musk, amber
capsule-collection-this-is-her;zadig-voltaire;women;Adult (25-40);pink pepper, jasmine, silk tree blossom;chestnut, whipped cream, vanilla;cashmere wood, sandalwood
lacquered-rose;x-ray;unisex;Adult (25-40);pink pepper, saffron, bergamot, italian mandarin;turkish rose oil, agarwood (oud), violet, tuberose, jasmine;guaiac wood, black amber, cedar, musk, sandalwood, vetiver, vanilla, olibanum
vetiver-citron-cologne-intense;the-art-of-shaving;men;Adult (25-40);lemon, grapefruit;cardamom, black pepper, artemisia;vetiver, cedar, tonka bean, patchouli, cashmeran, labdanum
